Date,Time,Type,Name,Category,Amount,,Currency,Local amount,Local currency,Notes and #tags,Description,Money Out,Money In
16-03-2024,02:21:55,Pot transfer,Saving  Pot,Transfers,-5,,GBP,-5,GBP,,,-5,
16-03-2024,20:17:39,Card payment,Lothian Buses,General,-1.2,,GBP,-1.2,GBP,,LOTHIAN BUSES LIMITED  EDINBURGH     GBR,-1.2,
17-03-2024,02:28:32,Pot transfer,Saving  Pot,Transfers,-5,,GBP,-5,GBP,,,-5,
17-03-2024,20:04:00,Card payment,Lothian Buses,General,-0.1,,GBP,-0.1,GBP,,LOTHIAN BUSES LIMITED  EDINBURGH     GBR,-0.1,
17-03-2024,22:57:19,Card payment,Sumup The Mosque Of,General,-50.84,,GBP,-50.84,GBP,,SumUp  *The Mosque of  Edinburgh     GBR,-50.84,
17-03-2024,23:00:54,Card payment,Abdul Halal Market,Groceries,-5.8,,GBP,-5.8,GBP,,ABDUL HALAL Market     Edinburgh     GBR,-5.8,
18-03-2024,02:23:05,Pot transfer,Saving  Pot,Transfers,-5,,GBP,-5,GBP,,,-5,
18-03-2024,14:19:49,Card payment,Lothian Buses,General,-2,,GBP,-2,GBP,,LOTHIAN BUSES LIMITED  EDINBURGH     GBR,-2,
18-03-2024,14:46:00,Card payment,Lothian Buses,General,-69,,GBP,-69,GBP,,LOTHIAN BUSES          EDINBURGH     GBR,-69,
18-03-2024,16:55:32,Card payment,Al-Medina Halal Meats,Groceries,-14.99,,GBP,-14.99,GBP,,Al-Medina Halal Meats  Edinburgh     GBR,-14.99,
18-03-2024,23:03:39,Card payment,Abdul Halal Market,Groceries,-2,,GBP,-2,GBP,,ABDUL HALAL Market     Edinburgh     GBR,-2,
19-03-2024,02:19:49,Pot transfer,Saving  Pot,Transfers,-5,,GBP,-5,GBP,,,-5,
20-03-2024,02:22:30,Pot transfer,Saving  Pot,Transfers,-5,,GBP,-5,GBP,,,-5,
20-03-2024,23:07:19,Card payment,Deliveroo,Eating out,-11.33,,GBP,-11.33,GBP,,DELIVEROO              +442036999977 GBR,-11.33,
21-03-2024,02:26:46,Pot transfer,Saving  Pot,Transfers,-5,,GBP,-5,GBP,,,-5,
22-03-2024,03:01:04,Pot transfer,Saving  Pot,Transfers,-5,,GBP,-5,GBP,,,-5,
22-03-2024,14:34:09,Card payment,Lidl,Groceries,-24.32,,GBP,-24.32,GBP,,LIDL GB  EDINBURGH     EDINBURGH     GBR,-24.32,
22-03-2024,14:41:17,Card payment,Abdul Halal Market,Groceries,-17.48,,GBP,-17.48,GBP,,ABDUL HALAL Market     Edinburgh     GBR,-17.48,
